1#,1Attack,1Defense,1HP,1Legendary,1SpAtk,1SpDef,1Speed,1type1,1type2,2#,2Attack,2Defense,2HP,2Legendary,2SpAtk,2SpDef,2Speed,2type1,2type2,winner
266,64,50,50,False,45,50,41,15,10,298,70,40,70,False,60,40,60,9,1,False
702,90,72,91,True,90,129,108,9,5,701,129,90,91,True,72,90,108,15,5,False
191,40,85,55,False,80,105,40,4,7,668,75,75,75,False,125,95,40,14,18,False
237,40,40,40,False,70,40,20,6,18,683,120,90,77,False,60,90,48,2,18,False
151,60,125,70,False,115,70,55,15,17,231,10,230,20,False,10,230,5,0,15,True
657,47,50,50,False,57,50,65,0,3,752,50,150,60,False,50,150,60,16,8,True
192,50,45,40,False,70,45,70,14,7,134,50,35,65,False,115,95,95,11,14,False
73,80,50,70,False,35,35,35,5,18,545,100,120,150,True,100,120,90,8,2,False
220,65,90,50,False,35,35,15,0,18,763,53,62,50,False,58,63,44,17,18,False
302,30,30,40,False,55,30,85,17,7,31,55,40,35,False,50,50,90,3,18,False
442,55,30,40,False,30,30,60,12,7,130,45,55,30,False,70,55,85,17,18,False
701,129,90,91,True,72,90,108,15,5,624,30,85,38,False,55,65,30,8,18,True
15,20,55,50,False,25,25,30,0,18,283,110,90,100,False,85,90,60,17,10,False
151,60,125,70,False,115,70,55,15,17,87,75,110,95,False,100,80,30,17,14,True
269,164,150,100,False,95,120,71,15,1,462,94,50,70,False,94,50,66,0,7,True
763,53,62,50,False,58,63,44,17,18,448,85,51,77,False,55,51,65,0,18,False
143,85,80,130,False,85,95,60,17,11,263,85,75,90,True,115,100,115,3,18,False
365,40,60,45,False,40,75,50,12,7,240,100,80,100,False,60,60,50,11,10,False
499,145,88,70,False,140,70,112,5,16,774,50,150,50,False,50,150,50,15,4,True
563,100,85,95,False,108,70,70,17,18,578,55,85,116,False,107,95,29,14,18,True
440,66,68,64,False,81,76,50,17,18,687,125,100,65,False,60,70,70,1,16,False
373,78,73,110,False,76,71,60,17,10,441,86,88,84,False,111,101,60,17,16,False
654,40,50,55,False,65,85,40,17,8,671,55,90,60,False,145,90,80,8,6,False
121,130,120,105,False,45,45,40,10,15,355,120,100,70,False,145,105,20,6,10,True
609,35,50,45,False,70,50,30,9,18,649,75,60,55,False,75,60,103,3,7,False
270,90,130,106,True,90,154,110,14,7,708,150,120,100,True,120,100,90,2,3,True
460,79,105,60,False,59,85,36,0,10,568,110,90,85,False,45,90,80,12,18,False
626,78,103,54,False,53,45,22,17,15,767,89,77,58,False,45,45,48,15,2,False
139,100,95,75,False,40,70,110,12,18,451,120,79,80,False,95,79,70,3,18,True
694,109,112,58,False,48,48,109,0,16,747,48,76,74,False,83,81,104,14,18,True
455,165,60,97,False,65,50,58,15,18,549,100,100,100,False,100,100,100,17,18,False
181,35,50,55,False,55,110,85,0,7,301,85,60,60,False,50,50,125,12,7,False
208,75,55,75,False,105,85,30,9,18,184,90,80,85,False,70,80,130,13,7,False
536,65,107,50,False,105,107,86,3,7,365,40,60,45,False,40,75,50,12,7,True
260,75,37,45,False,70,55,83,6,18,381,125,100,75,False,70,80,45,15,0,False
471,83,68,111,False,92,82,39,17,10,269,164,150,100,False,95,120,71,15,1,False
621,75,70,50,False,35,70,48,1,5,287,30,41,38,False,30,41,60,12,18,False
